name,appid_steam_games,genre,tags,positive_rating
Dead Age,363930,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy","RPG, Zombies, Strategy, Survival, Turn-Based Combat, Adventure, Casual, Simulation, Action, Indie, Post-apocalyptic, Turn-Based, Singleplayer, Party-Based RPG, Rogue-like, Crafting, Turn-Based Strategy, Rogue-lite, Dungeon Crawler, Procedural Generation",82
Black The Fall,308060,"Action, Adventure, Indie","Indie, Adventure, Action, Atmospheric, Platformer, Puzzle, Puzzle-Platformer, Dystopian , Dark, Story Rich, Singleplayer, 2.5D, Political, Horror, Stealth, Side Scroller, Sci-fi, Cinematic, Survival, Classic",77.9
Styx: Shards of Darkness,355790,"Action, Adventure","Stealth, Adventure, Co-op, Action, Fantasy, Assassin, Dark Fantasy, Singleplayer, Third Person, Dark Humor, Open World, Atmospheric, Parkour, Violent, Multiplayer, Memes, RPG, Comedy, Difficult, Steampunk",82.8
Batman: Arkham Origins,209000,"Action, Adventure","Action, Open World, Superhero, Adventure, Third Person, Stealth, Singleplayer, Multiplayer, Fighting, Beat 'em up, Comic Book, Detective, Story Rich, Atmospheric, Action-Adventure, Controller, 3D Vision, Sandbox, Third-Person Shooter, RPG",88.2
Hearts of Iron IV,394360,"Simulation, Strategy","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Great Soundtrack, Open World, Action, Casual",91.9
Jade's Journey,552580,"Adventure, Casual, Indie, RPG, Strategy","Adventure, RPG, Indie, Casual, Strategy, RPGMaker",52.8
Flockers,260330,"Action, Indie, Strategy","Lemmings, Strategy, Indie, Action, Puzzle, Platformer, Blood, Singleplayer, Adventure",76.9
GemCraft - Chasing Shadows,296490,"Action, Indie, Strategy","Tower Defense, Strategy, Indie, Singleplayer, Action, Top-Down, Fantasy, Tactical, 2D, Difficult, Classic, Great Soundtrack, Puzzle",95.9
Bear With Me - Collector's Edition,783050,"Adventure, Indie","Adventure, Indie, Point & Click, Noir, Detective, Psychological Horror, Singleplayer, Female Protagonist, Story Rich, 2D",85.3
Offworld Trading Company,271240,"Indie, Simulation, Strategy","Simulation, Sci-fi, Multiplayer, Resource Management, Singleplayer, Management, Sandbox, Strategy, Building, Economy, Co-op, Base-Building, Futuristic, RTS, City Builder, Space, Online Co-Op, Colony Sim, Survival, Moddable",76.7
Aaero,499890,"Action, Indie","Indie, Action, Music, Rhythm, Great Soundtrack, Controller, On-Rails Shooter, Singleplayer",83.5
Sweet fantasy,612110,"Adventure, Casual, Indie","Sexual Content, Nudity, Casual, Indie, Adventure, Visual Novel, Anime, Female Protagonist, LGBTQ+, Romance, Short, Singleplayer, Mature, Fantasy, Cute, Hentai",82.9
Hentai Memory,873240,"Casual, Indie","Nudity, Sexual Content, Anime, Casual, Indie, Mature, Puzzle, Singleplayer, Relaxing, Great Soundtrack, Hentai",90.1
THE KING OF FIGHTERS XIII STEAM EDITION,222940,Action,"Fighting, 2D Fighter, Arcade, Action, Local Multiplayer, Competitive, Anime, Multiplayer, 2D, Great Soundtrack, Controller, Singleplayer, Classic, Beat 'em up, Female Protagonist, Difficult, Retro",90.5
Blackbay Asylum,313140,"Adventure, Indie","Adventure, Indie, Horror, Gore, Puzzle, Lovecraftian, Comedy",55.3
Ticket to Ride,108200,"Casual, Indie, Strategy","Board Game, Strategy, Tabletop, Casual, Multiplayer, Turn-Based, Indie, Trains, Family Friendly, Singleplayer, Touch-Friendly, Addictive, Local Multiplayer, Turn-Based Tactics, Turn-Based Strategy, 2D, Competitive, Replay Value, Asynchronous Multiplayer, Hand-drawn",90.8
Resident Evil,304240,"Action, Adventure","Survival Horror, Zombies, Horror, Classic, Remake, Atmospheric, Singleplayer, Puzzle, Survival, Adventure, Action, Third Person, Cult Classic, Female Protagonist, Story Rich, Difficult, Gore, Shooter, Great Soundtrack, Third-Person Shooter",92.6
Yakuza 0,638970,"Action, Adventure, RPG","Story Rich, Action, Beat 'em up, Great Soundtrack, Open World, Crime, RPG, Minigames, Singleplayer, Funny, Violent, Mature, Adventure, Comedy, Sexual Content, Drama, Third Person, Atmospheric, JRPG, Dating Sim",95.3
Nongünz,633130,"Action, Indie","Action, Indie, Action Roguelike, Pixel Graphics, Difficult, Platformer, Rogue-like, Rogue-lite, Violent, Clicker, Side Scroller, Fast-Paced, Action-Adventure, Co-op, Gore",60.5
Monster Puzzle,493700,"Action, Casual, Indie","Indie, Action, Casual, Puzzle",56.5
Rampage Knights,314410,"Action, Adventure, Indie, RPG","Co-op, Action Roguelike, Action, Beat 'em up, Rogue-like, Indie, Multiplayer, Adventure, RPG, Local Co-Op, Online Co-Op, Rogue-lite, Dungeon Crawler, 2D, Funny, Hack and Slash, Difficult, Side Scroller, Procedural Generation, Local Multiplayer",92.8
Poker Night at the Inventory,31280,"Casual, Sports","Card Game, Casual, Comedy, Singleplayer, Funny, Gambling, Strategy, Sports, Simulation, Conversation, Memes, Indie, First-Person, Touch-Friendly, Point & Click, Multiplayer, Board Game, Action, Relaxing, Free to Play",89.2
Sakura Beach 2,407980,"Casual, Indie","Nudity, Anime, Mature, Sexual Content, Visual Novel, Indie, Casual, Dating Sim, Singleplayer, Hentai",76.7
Outlast 2,414700,"Action, Adventure, Indie","Horror, Psychological Horror, Survival Horror, First-Person, Gore, Singleplayer, Dark, Atmospheric, Violent, Survival, Mature, Action, Nudity, Adventure, Story Rich, Sexual Content, Multiplayer, Parkour, Indie, FPS",91.1
Make America Great Again: The Trump Presidency,515040,"Action, Casual, Indie, Simulation, Strategy","Memes, Post-apocalyptic, Political Sim, Political, Illuminati, Politics, Simulation, Dystopian , Casual, Strategy, Story Rich, Economy, Indie, Action, America, Survival Horror, Sexual Content, Dark Fantasy, Comedy, Funny",86.6
Layers of Fear,391720,"Adventure, Indie","Horror, Psychological Horror, Atmospheric, Walking Simulator, First-Person, Singleplayer, Story Rich, Indie, Adventure, Psychedelic, Dark, Puzzle, Great Soundtrack, Exploration, Mystery, Multiplayer, Lovecraftian, Surreal, Survival Horror, Short",89
Darksiders Warmastered Edition,462780,"Action, Adventure, RPG","Action, Adventure, Hack and Slash, Third Person, RPG, Dark Fantasy, Singleplayer, Puzzle, Violent, Fantasy, Demons, Post-apocalyptic, Gore, Open World, Story Rich, Controller, Remake, Metroidvania, Difficult, Multiplayer",87.1
Ken Follett's The Pillars of the Earth,234270,"Adventure, Casual, Indie","Adventure, Choices Matter, Visual Novel, Point & Click, Story Rich, Medieval, Indie, Casual, Interactive Fiction, Based On A Novel, Atmospheric, Singleplayer, Historical, Great Soundtrack, Violent, Female Protagonist, Hand-drawn, Choose Your Own Adventure, RPG, 2D",92.9
Darkestville Castle,689900,"Adventure, Indie","Point & Click, Hidden Object, Adventure, Villain Protagonist, Cartoony, Hand-drawn, Funny, 2D, Third Person, Story Rich, Puzzle, Conversation, Demons, Comedy, Atmospheric, Singleplayer, Dark Humor, Classic, Great Soundtrack, Indie",93.7
Out of the Park Baseball 17,402430,"Indie, Simulation, Sports, Strategy","Sports, Strategy, Simulation, Indie, Baseball, Management",91.5
Nyan Cat: Lost In Space,415420,"Action, Casual","Memes, Cats, Platformer, Adventure, Action-Adventure, Pixel Graphics, Casual, Cute, Singleplayer, Space, Funny, Action, Indie, 2D, Difficult, Comedy, Cyberpunk, LGBTQ+, Dark, 2D Platformer",92.7
Remothered: Tormented Fathers,633360,"Action, Adventure, Indie","Action, Horror, Adventure, Female Protagonist, Indie, Violent, Nudity, Psychological Horror, Survival Horror, Gore, Stealth, Atmospheric, Story Rich, Third Person",74.9
Falcon 4.0,429530,Simulation,"Simulation, Flight, Military",84.3
Falcon Gold,429520,Simulation,"Simulation, Retro, Flight, Classic",80.8
Alice in Wonderland,316030,"Action, Adventure","Adventure, Action, Family Friendly, Female Protagonist, Cold War, Survival Horror, Violent, NSFW",69.2
Kingdom: New Lands,496300,"Indie, Simulation, Strategy","Exploration, Side Scroller, Colony Sim, Tower Defense, Building, Medieval, Survival, Base-Building, Strategy, Rogue-like, 2D, Pixel Graphics, Open World, Simulation, Fantasy, Atmospheric, Adventure, Singleplayer, Indie, Great Soundtrack",86.7
Watch_Dogs,243470,"Action, Adventure","Open World, Hacking, Action, Multiplayer, Third Person, Adventure, Stealth, Third-Person Shooter, Singleplayer, Shooter, Atmospheric, Parkour, Sandbox, Epic, Dog, Driving, Co-op, Beautiful, Strategy, Futuristic",74.1
AXYOS,318100,"Action, Casual, Free to Play, Indie, Massively Multiplayer, Strategy","FPS, Wargame, MOBA, PvP, PvE, Shooter, First-Person, Hero Shooter, Action, Realistic, Military, Sniper, War, Online Co-Op, Modern, Multiplayer, Free to Play, Singleplayer, Indie, 3D",51.7
Hand of Fate,266510,"Action, Indie, RPG","Roguelike Deckbuilder, Rogue-like, Deckbuilding, Action Roguelike, Card Game, RPG, Singleplayer, Action, Fantasy, Indie, Choose Your Own Adventure, Adventure, Rogue-lite, Third Person, Action RPG, Atmospheric, Board Game, Difficult, Hack and Slash, Tabletop",89.8
Shiftlings,310810,"Action, Adventure","Action, Adventure, Co-op, Puzzle-Platformer, Puzzle, Platformer, Comedy, Local Co-Op",73.2
Big Pharma,344850,"Indie, Simulation, Strategy","Management, Simulation, Medical Sim, Strategy, Indie, Puzzle, Automation, Economy, Singleplayer, Isometric, Casual, Resource Management, Base-Building, 2D, Sandbox, Moddable, Family Friendly, Building, 2.5D, Cute",76.8
Tricky Towers,437920,"Casual, Indie","Party Game, Puzzle, Physics, Casual, Multiplayer, Building, Funny, Family Friendly, Arcade, Cartoony, Local Multiplayer, Online Co-Op, Singleplayer, Local Co-Op, PvP, 4 Player Local, Strategy, Party, Colorful, Stylized",90.6
Murder Miners,274900,"Action, Casual, Indie","Indie, Voxel, Arena Shooter, Zombies, 4 Player Local, Level Editor, Local Multiplayer, Split Screen, Battle Royale, FPS, Shooter, Multiplayer, First-Person, Controller, Competitive, PvP, Co-op, Building, Sandbox, Action",86.1
2064: Read Only Memories,330820,"Adventure, Indie","Cyberpunk, Visual Novel, Interactive Fiction, Story Rich, Atmospheric, Noir, Multiple Endings, Choices Matter, Point & Click, Conversation, Stylized, Sci-fi, Comic Book, Emotional, 2D, Futuristic, Adventure, Singleplayer, LGBTQ+, Narrative",79.6
Alex Hunter - Lord of the Mind,266940,Casual,"Casual, Hidden Object, Point & Click, Adventure, Puzzle, Singleplayer",79.8
Atonement: Scourge of Time,385070,"Adventure, Indie, RPG","Indie, RPG, Adventure, RPGMaker, Dark Fantasy, Great Soundtrack",70.7
Guts and Glory,537340,"Action, Casual, Indie, Racing","Action, Casual, Racing, Indie, Gore, Funny, Physics, Violent, Open World, Blood, Comedy, Third Person, Sandbox, Singleplayer, Early Access, Level Editor, Difficult, Dark Humor, Survival, Multiplayer",79.9
Husk,553960,"Action, Adventure, Indie","Horror, Indie, Atmospheric, Psychological, Walking Simulator, First-Person, Singleplayer, Psychological Horror, Adventure, Violent, Story Rich, Exploration, Emotional, Action, Dark, Drama, Survival Horror, Survival, Action-Adventure, Realistic",43.5
Cursed Castilla (Maldita Castilla EX),534290,"Action, Adventure, Indie","2D Platformer, Indie, Action, Retro, Adventure, Platformer, Pixel Graphics, 2D, Difficult, Medieval, Action-Adventure, Mythology, GameMaker, Arcade, Side Scroller, Fantasy, Singleplayer, Metroidvania, Inventory Management, Cult Classic",85.7
Two Worlds II HD,7520,RPG,"RPG, Open World, Fantasy, Third Person, Exploration, Singleplayer, Action RPG, Multiplayer, Adventure, Co-op, Crafting, Story Rich, Action, Hack and Slash, Magic, Dark Fantasy, Inventory Management, Medieval, Atmospheric, Sandbox",61.7
Drayt Empire,502140,"Indie, RPG","Indie, RPG, RPGMaker",49.6
Orwell,491950,"Adventure, Indie, Simulation","Choices Matter, Political Sim, Dystopian , Story Rich, Indie, Singleplayer, Detective, Simulation, Interactive Fiction, Hacking, Adventure, Politics, Political, Atmospheric, Mouse only, Visual Novel, Episodic, Mystery, Great Soundtrack, Point & Click",91.1
Sword of Asumi,326950,"Adventure, Indie, RPG","Visual Novel, Anime, Indie, Female Protagonist, Adventure, RPG, Nudity, Violent, Singleplayer, Romance, Dating Sim",73.5
Stone Age Wars,521230,"Violent, Action, Indie, Strategy","Strategy, Action, Indie, Violent",68.2
Star Chronicles: Delta Quadrant,383330,"Indie, Strategy","Indie, Strategy, Rogue-like",59.3
Risky Rescue,439910,"Action, Casual, Indie","Casual, Action, Indie, Multiplayer",77
Cosmic Dust & Rust,473560,"Action, Casual, Indie, Strategy","Casual, Strategy, Tower Defense, Indie, Pixel Graphics, Action, Difficult",58
Artificial Defense,443420,"Action, Indie, Strategy","Indie, Strategy, Action, Tower Defense",83
Strider,235210,"Action, Adventure","Platformer, Metroidvania, Action, Ninja, Side Scroller, Hack and Slash, Reboot, Arcade, 2.5D, Adventure, Retro, Classic, Remake, Singleplayer, Fast-Paced, Sci-fi, Controller, Anime, 2D, Cyberpunk",83
Neon Chrome,428750,"Action, Adventure, Indie, RPG","Cyberpunk, Twin Stick Shooter, Action Roguelike, Action, Top-Down Shooter, Rogue-lite, Indie, Local Co-Op, Shooter, Top-Down, Sci-fi, Great Soundtrack, Moddable, Rogue-like, Level Editor, Dystopian , RPG, Dungeon Crawler, Gore, Local Multiplayer",92
Calcu-Late,449200,"Adventure, Indie, RPG","Indie, Adventure, RPG, RPGMaker",58.2
Doorways: The Underworld,311250,"Action, Adventure, Indie","Horror, Adventure, Action, Indie, Survival Horror, First-Person, VR, Dark, Psychological Horror, Singleplayer, Mature, Stealth, Gore, Violent, Puzzle-Platformer, Atmospheric, Detective, Mystery, 3D Vision, Puzzle",69.9
Oddworld: New 'n' Tasty,314660,"Action, Adventure, Indie","Puzzle-Platformer, Adventure, Platformer, Remake, Puzzle, Classic, Singleplayer, Action, Indie, 2D, Funny, Cult Classic, Stealth, Atmospheric, Side Scroller, Comedy, 2.5D, Difficult, Sci-fi, Nostalgia",86.8
Trine,35700,"Action, Adventure, Indie","Puzzle-Platformer, Beautiful, Fantasy, Platformer, Physics, Action, Local Co-Op, Adventure, Puzzle, Great Soundtrack, Indie, Co-op, Singleplayer, Online Co-Op, Multiplayer, Atmospheric, Casual, Local Multiplayer, 2D, Female Protagonist",95.8
PulseCharge,438010,"Action, Indie","Indie, Platformer, Action, 2D, Puzzle, Side Scroller, Precision Platformer, Puzzle-Platformer, Cartoon, Cartoony, Hand-drawn, Fantasy, Psychedelic, Female Protagonist, Artificial Intelligence, Combat, PvE, Score Attack, Singleplayer, Exploration",50.3
Adventure Time: The Secret Of The Nameless Kingdom,298890,"Action, Adventure, RPG","Adventure, Action, RPG, Fantasy, Top-Down, Pixel Graphics, 2D, Classic, Anime, Singleplayer",74.9
Snik,388050,"Casual, Indie","Casual, Indie",56.5
Infinifactory,300570,"Indie, Simulation","Puzzle, Building, Indie, Automation, Programming, Sandbox, Simulation, Singleplayer, Sci-fi, First-Person, Difficult, Logic, Space, Great Soundtrack, Strategy",94.8
Project Starship,454890,"Action, Casual, Indie","Indie, Action, Casual, Bullet Hell, Shoot 'Em Up, 2D, Pixel Graphics",83.7
FINAL FANTASY IX,377840,RPG,"JRPG, Story Rich, Great Soundtrack, Fantasy, RPG, Classic, Turn-Based Combat, Singleplayer, Adventure, Atmospheric, Turn-Based, Open World, Party-Based RPG, Funny, Cult Classic, Steampunk, Medieval, Exploration, Anime, Action",94.2
Atari Vault,400020,"Action, Adventure, Casual, Racing, RPG, Sports, Strategy","Retro, Classic, Arcade, Adventure, Casual, Action, Racing, Sports, 1980s, Strategy, RPG, Pixel Graphics, Local Multiplayer, Singleplayer, 2D",83.6
Figment,493540,"Action, Adventure, Casual, Indie","Indie, Adventure, Action, Puzzle, Great Soundtrack, Hand-drawn, Singleplayer, Surreal, Isometric, Atmospheric, Colorful, Cute, Funny, Controller, Story Rich, Music, Casual, Exploration, Action-Adventure, Multiplayer",86.5
Machine Hunt,546930,"Action, Indie","Action, Indie, FPS, Shooter, Early Access",51.1
METAL SLUG 3,250180,Action,"Arcade, Classic, Action, Co-op, Side Scroller, Retro, Local Co-Op, Shooter, 2D, Online Co-Op, Great Soundtrack, Platformer, Shoot 'Em Up, Multiplayer, Pixel Graphics, Old School, Difficult, Singleplayer, Comedy, Nostalgia",89.6
The Witcher 2: Assassins of Kings Enhanced Edition,20920,RPG,"RPG, Fantasy, Mature, Story Rich, Choices Matter, Singleplayer, Third Person, Adventure, Nudity, Dark Fantasy, Multiple Endings, Action, Open World, Atmospheric, Based On A Novel, Well-Written, Difficult, Medieval, Magic, Dark",89.5
Qasir al-Wasat: International Edition,296030,"Action, Adventure, Indie","Indie, Action, Adventure, 2D, Stealth, Villain Protagonist, Story Rich, Difficult, Female Protagonist, Fantasy, Multiple Endings",80
Western Press,377360,"Action, Indie","Indie, Typing, Local Multiplayer, Action, Western, Pixel Graphics, 2D, Casual, Multiplayer, Funny, Memes, Singleplayer",64.7
Ampersand,410210,"Indie, Racing","Racing, Indie, Singleplayer, Futuristic",32.7
Portal of Evil: Stolen Runes Collector's Edition,361850,"Adventure, Casual","Casual, Hidden Object, Adventure, Point & Click, Puzzle, Female Protagonist, Singleplayer",91.9
Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete,336280,"Indie, RPG","Indie, RPG, Great Soundtrack, RPGMaker, JRPG, 2D, Turn-Based, Fantasy, Dark Fantasy, Dark, Villain Protagonist, Turn-Based Combat, Retro, Episodic, Dark Humor, Party-Based RPG",66.3
Red Bit Ninja,364900,"Action, Indie","Metroidvania, Roguevania, 2D Platformer, Difficult, Platformer, Arcade, 2D, Controller, Action, Pixel Graphics, Ninja, Tactical, Physics, Adventure, Cartoon, Retro, Old School, Singleplayer, Indie",24.1
Outrage,457820,"Adventure, Indie, RPG","Indie, RPG, Adventure, RPGMaker, Cyberpunk",62.2
Sakura Shrine Girls,517000,"Casual, Indie","Anime, Nudity, Visual Novel, Indie, Casual, Sexual Content, Mature, Dating Sim, Hentai, Cute, Singleplayer, Violent",76.2
VA-11 Hall-A: Cyberpunk Bartender Action,447530,"Adventure, Indie, Simulation","Cyberpunk, Visual Novel, Pixel Graphics, Story Rich, Female Protagonist, Dystopian , LGBTQ+, Choices Matter, Point & Click, Casual, Simulation, Memes, Anime, Transhumanism, Adventure, 2D, Life Sim, Funny, Cute, Sci-fi",97.7
DreadOut: Keepers of The Dark,418950,"Adventure, Indie","Adventure, Indie, Horror, Survival Horror, Female Protagonist, Third Person, Nudity, Psychological Horror, Survival, Atmospheric",79.2
RUSSIA BATTLEGROUNDS,805940,"Action, Adventure, Indie, Massively Multiplayer, RPG","Action, Gore, Battle Royale, FPS, Multiplayer, Memes, Indie, Adventure, Massively Multiplayer, Funny, Shooter, First-Person, RPG, PvP, Atmospheric, Realistic, Great Soundtrack, Relaxing, Fast-Paced, Action RPG",77.7
Power of Love,368710,"Casual, Indie, Strategy","Casual, Strategy, Indie, Puzzle",67.8
Unhack,340800,Indie,"Indie, Anime, Puzzle, Visual Novel, Short, Singleplayer",85.7
Planet of the Eyes,350970,"Action, Adventure, Indie","Puzzle, Platformer, Indie, Action, Adventure, Sci-fi, Retro, Singleplayer, Stylized, Puzzle-Platformer, Controller, Robots, Atmospheric, Narration, Colorful, Exploration, 2D, Short, Space, Casual",83.3
Turbo Pug DX,513780,"Casual, Indie","Indie, Casual, Runner, Cute, Pixel Graphics, Funny, Difficult, Dog, Adventure, Platformer, Singleplayer, 2D, Memes",77.9
BioShock 2 Remastered,409720,"Action, RPG","FPS, Action, Singleplayer, Story Rich, Atmospheric, Horror, Shooter, First-Person, RPG, Dystopian , Sci-fi, Steampunk, Adventure, Underwater, Dark, Great Soundtrack, Alternate History, Immersive Sim, Remake, Multiplayer",67.9
Rocket League,252950,"Action, Indie, Racing, Sports","Football (Soccer), Multiplayer, Competitive, Sports, Racing, Football (American), Team-Based, Online Co-Op, Fast-Paced, Co-op, Action, Funny, Great Soundtrack, Local Multiplayer, Split Screen, Local Co-Op, Singleplayer, 4 Player Local, Casual, Indie",88.7
Rabiez: Epidemic,448630,"Indie, Strategy","Indie, Strategy, Sci-fi, Top-Down",42.4
Mega Man Legacy Collection,363440,Action,"Platformer, Retro, Classic, Action, 2D, Pixel Graphics, Great Soundtrack, Singleplayer, Difficult, Side Scroller, Sci-fi, 1980s, 1990's, Remake, Shooter, Robots, Anime, Controller, Old School, Futuristic",86.1
Catch a Falling Star,451880,"Casual, Indie","Casual, Indie, Relaxing",73.3
Lost Castle,434650,"Action, Adventure, Indie, RPG","4 Player Local, Action Roguelike, Beat 'em up, Side Scroller, Dungeon Crawler, Hack and Slash, Rogue-lite, PvP, PvE, Rogue-like, Difficult, Action RPG, Local Multiplayer, Multiplayer, 2D, RPG, Multiple Endings, Colorful, Loot, Singleplayer",88
Sins Of The Demon RPG,461640,"Action, Adventure, Indie, RPG","Anime, RPG, RPGMaker, Adventure, Sexual Content, Indie, Nudity, Pixel Graphics, Story Rich, Action, Singleplayer, 2D, Great Soundtrack, Fantasy, Open World, Exploration, JRPG, Retro, Survival, Shooter",84.3
Neon Hardcorps,454200,"Action, Indie","Indie, Action, Top-Down, Pixel Graphics",45
Drive Megapolis,514970,"Casual, Indie, Racing, Simulation","Simulation, Racing, Indie, Casual",39.2
INSIDE,304430,"Action, Adventure, Indie","2.5D, Story Rich, Puzzle-Platformer, Atmospheric, Adventure, Indie, Dark, Horror, Singleplayer, Action-Adventure, Puzzle, Multiple Endings, Exploration, 2D Platformer, Platformer, Controller, Soundtrack, Ambient, Action, Narrative",96.6
Damned,251170,Adventure,"Horror, Multiplayer, Co-op, Psychological Horror, Survival Horror, Online Co-Op, Team-Based, Adventure, Survival, 3D, Indie, First-Person, Exploration, Action, Puzzle, Atmospheric, Dark, Action-Adventure, Mystery Dungeon, Realistic",70.6
DanceWall Remix,303850,"Casual, Indie, Sports","Sports, Indie, Casual",78.6
Elements II: Hearts of Light,448640,"Indie, RPG, Early Access","Early Access, Indie, RPG, RPGMaker",59.3
Interloper,356420,"Indie, Strategy","Strategy, Indie, RTS, Multiplayer, Fast-Paced, Short, Great Soundtrack, 2D",84.8
HuniePop,339800,"Indie, RPG, Simulation, Strategy","Nudity, Mature, Sexual Content, Anime, Dating Sim, Puzzle, Match 3, Romance, Hentai, Singleplayer, Cute, Comedy, Indie, Casual, RPG, Story Rich, Strategy, Great Soundtrack, Memes, 2D",96.3
CAFE 0 ~The Drowned Mermaid~,335660,"Adventure, Casual, Indie","Visual Novel, Adventure, Indie, Casual, Horror, Anime, Female Protagonist, Otome, Psychological Horror, Mystery, Story Rich",64.2
Murderous Pursuits,638070,"Action, Indie, Simulation, Strategy","Action, Simulation, Indie, Strategy, Stealth, Multiplayer, Assassin, Mystery, Third Person, Co-op",63.5
SQUAKE,526920,"Action, Casual, Indie, Racing, Sports","Racing, Action, Indie, Casual, Sports",66.9
Staxel,405710,"Indie, RPG, Simulation","Farming Sim, Cute, Character Customization, Agriculture, Sandbox, Nature, Relaxing, Building, Open World, Voxel, Online Co-Op, Pixel Graphics, Casual, RPG, Simulation, Multiplayer, Adventure, Co-op, Singleplayer, Survival",79.8
Chroma Squad,251130,"Indie, RPG, Strategy","RPG, Strategy, Tactical RPG, Indie, Pixel Graphics, Turn-Based Tactics, Superhero, Turn-Based, Turn-Based Combat, Management, Great Soundtrack, Comedy, 2D, Singleplayer, Memes, Funny, Isometric, Mechs, Story Rich, Simulation",93.1
Rise of the Tomb Raider,391220,"Action, Adventure","Adventure, Action, Female Protagonist, Singleplayer, Third Person, Exploration, Open World, Action-Adventure, Story Rich, Survival, Puzzle, Stealth, Atmospheric, Third-Person Shooter, Parkour, Shooter, RPG, Great Soundtrack, Multiplayer, Quick-Time Events",94
Disney Planes,286880,"Action, Adventure","Adventure, Action, LGBTQ+, Family Friendly, Flight, Post-apocalyptic, War, Illuminati, Memes, Story Rich, Female Protagonist, Third-Person Shooter, Great Soundtrack, Cult Classic, Racing, Dark Fantasy, FPS, Dark",82.1
Teddy Floppy Ear - Kayaking,340310,"Adventure, Casual, Indie","Adventure, Casual, Family Friendly, Indie, Singleplayer, Memes, Cute, Point & Click, Story Rich, Great Soundtrack, Violent",77.2
Dead by Daylight,381210,Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Blood, Stealth, Third Person, First-Person, Violent, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult",81.6
Dead6hot,438030,"Action, Casual","Action, Casual, 2D, Pixel Graphics, Indie, Platformer",44.9
Zombie Night Terror,416680,"Action, Indie, Strategy","Zombies, Strategy, Pixel Graphics, Indie, Action, Puzzle, Lemmings, Horror, 2D, Singleplayer, Gore, Villain Protagonist, Great Soundtrack, Comedy, Blood, Survival, Difficult, Platformer, Retro, Funny",92.9
Turbo Pug,418070,"Casual, Indie","Indie, Pixel Graphics, Casual, 2D, Difficult, Side Scroller, Runner, Platformer, Singleplayer, Cute, Memes, Dog, Great Soundtrack",90.8
Reset 1-1,491650,Indie,"Indie, Platformer, Pixel Graphics, 2D",65.2
ShapeShifter,497050,"Casual, Indie","Indie, Casual",50.7
Sakura Angels,342380,"Casual, Indie","Nudity, Anime, Mature, Visual Novel, Sexual Content, Dating Sim, Cute, Casual, Indie, Romance, Singleplayer, Hentai, Story Rich, Adventure, Comedy, Memes, Great Soundtrack, Simulation, Action, Atmospheric",83.7
Shift,485730,"Indie, Strategy","Indie, Strategy, Puzzle, Anime, Singleplayer, Relaxing, Female Protagonist",75.9
QuestRun,286120,RPG,"RPG, Indie, Casual, Singleplayer, Turn-Based, Turn-Based Strategy",53
Fallen Enchantress: Legendary Heroes,228260,"Indie, RPG, Strategy","4X, Grand Strategy, Tactical RPG, City Builder, PvE, RPG, Turn-Based, Turn-Based Strategy, Strategy, Third Person, 3D, Dragons, Exploration, Turn-Based Tactics, Sandbox, Stylized, Fantasy, Medieval, Tactical, Magic",74.4
Hollow Knight,367520,"Action, Adventure, Indie","Metroidvania, Souls-like, Platformer, Great Soundtrack, Difficult, 2D, Indie, Atmospheric, Singleplayer, Exploration, Adventure, Story Rich, Hand-drawn, Action, Multiple Endings, Dark Fantasy, Open World, Cute, Controller, Side Scroller",97.2
CONSORTIUM,264240,"Action, Adventure, Indie, RPG","RPG, Sci-fi, Adventure, Indie, Action, Singleplayer, Choices Matter, Story Rich, FPS, Immersive Sim, First-Person, Space, Kickstarter, Short, Shooter",71.8
HunieCam Studio,426000,"Indie, Simulation","Mature, Sexual Content, Nudity, Management, Simulation, Clicker, Anime, Singleplayer, Indie, Strategy, Female Protagonist, Hentai, Memes, Cute, Dating Sim, Comedy, Funny, Casual, 2D, Replay Value",87
Strike Vector,246700,"Action, Indie","Action, Multiplayer, Indie, Arena Shooter, Fast-Paced, FPS, Third-Person Shooter, Flight, Shooter, Space, Difficult, Sci-fi, First-Person, Mechs, Simulation, Competitive, 6DOF",67.5
Sundered: Eldritch Edition,535480,"Action, Adventure, Indie","Roguevania, Metroidvania, Action Roguelike, Lovecraftian, Indie, Platformer, Hand-drawn, 2D, Female Protagonist, Action, Difficult, Adventure, Side Scroller, Atmospheric, Singleplayer, Exploration, Rogue-like, Controller, Horror, Great Soundtrack",82.9
The Surge,378540,"Action, RPG","Souls-like, Action, RPG, Sci-fi, Difficult, Third Person, Singleplayer, Mechs, Violent, Hack and Slash, Robots, Open World, Exploration, Cyberpunk, Gore, Action RPG, Adventure, Futuristic, Horror, Atmospheric",75.3
