name,appid_steam_games,genre,tags,positive_rating
The Political Machine 2016,404620,"Casual, Indie, Simulation, Strategy","Political Sim, Simulation, Strategy, Indie, Casual, Politics, Political, Turn-Based, Multiplayer, Singleplayer, Management, Early Access, Funny, Turn-Based Strategy, Moddable, America, Memes, Satire, Psychological Horror",76.1
The Quivering,345290,Adventure,"Adventure, Point & Click, Horror, Retro, Funny, Dark Comedy, Classic, Comedy",64.7
The Retro Expansion,44660,Racing,"Racing, Simulation",86.5
The Royal Game of Ur,955470,Casual,"Board Game, Casual, Tabletop, 2D, Isometric, Turn-Based, Strategy, Turn-Based Tactics, Colorful, Historical, PvP, Singleplayer, Local Multiplayer",93
The Sands Whisper Your Name,282960,"Indie, Early Access","Indie, Early Access, Survival, Crafting, Exploration",100
The Secret of Monkey Island: Special Edition,32360,Adventure,"Point & Click, Adventure, Comedy, Classic, Pirates, Remake, Funny, Singleplayer, Puzzle, 1990's, 2D, Great Soundtrack, Story Rich, Retro, Cult Classic, Pixel Graphics, Nostalgia, Escape Room, Atmospheric",95.4
The Secret Order 6: Bloodline,662190,"Adventure, Casual","Casual, Adventure, Hidden Object, Point & Click, Female Protagonist, Puzzle, Fantasy, Mystery, Horror, 2D, Singleplayer, Indie, Great Soundtrack, Atmospheric, Family Friendly, Story Rich",91.1
The Secrets of The Forest,822770,"Action, Adventure, Indie, Early Access","Action, Adventure, Indie, Early Access, Horror",42.9
The Ship Single Player,2420,"Action, Indie, RPG","Action, Indie, RPG, Singleplayer, FPS, First-Person, Stealth, Multiplayer",70.6
The Signal From Tölva,457760,Action,"Open World, Robots, FPS, Action, Sci-fi, Indie, Exploration, Singleplayer, First-Person, Atmospheric, Shooter, Futuristic, Space, Story Rich, Stealth, Sniper, Replay Value, Lore-Rich, Science, Adventure",67.6
The Silent Age,352520,"Adventure, Casual, Indie","Point & Click, Side Scroller, Adventure, Psychological Horror, Alternate History, Story Rich, Detective, Puzzle, Sci-fi, Singleplayer, Exploration, Choices Matter, 2D, Linear, Narration, Hidden Object, Time Manipulation, Post-apocalyptic, Stylized, Casual",93.4
